id;code_cec;libelle_cec;arrondissement;departement;region
1;CEAL53;ABAM;DZENG;NYONG ET SO'O;CENTRE
2;CE4935;ABANG;MFOU;MEFOU ET AFAMBA;CENTRE
3;CE2602;ABANG I;DZENG;NYONG ET SO'O;CENTRE
4;CE6112;ABANGA;NKOLAFAMBA;MEFOU ET AFAMBA;CENTRE
5;CE5602;ABANG-BETSENGA;NGOMEDZAP;NYONG ET SO'O;CENTRE
6;NW4202;ABAR;FONGUM;MENCUM;NORTH-WEST
7;ENAL01;ABASSOUNIT;HILE ALIFA;DIAMARE;EXTREME-NORD
8;SW1702;ABAT;EYUMUDJOCK;MANYU;SUD-OUEST
9;NW1102;ABEBUNG;NGIE;MOMO;NORTH-WEST
10;NW4102;ABEGUM;WIDIKUM-MENKA;MOMO;NORTH-WEST
11;CE1302;ABEM;AKONOLINGA;NYONG ET MFOUMOU;CENTRE
12;CE4902;ABEMBE I;MFOU;MEFOU ET AFAMBA;CENTRE
13;CE7102;ABOM;SOA;MEFOU ET AFAMBA;CENTRE
14;CE7602;ABOM BABA;YAOUNDE V;MFOUNDI;CENTRE
15;CE7103;ABONDO;SOA;MEFOU ET AFAMBA;CENTRE
16;CE6602;ABONO;OBALA;LEKIE;CENTRE
17;EN3502;ABOUDANGALA;MAKARY;DIAMARE;EXTREME-NORD
18;EN3503;ABOUKOUSS KAWALME;MAKARY;DIAMARE;EXTREME-NORD
19;ES1802;ABOUMADJALI;DIANG;LOM ET DJEREM;EST
20;NW2402;ABUH;FUNDONG;BOYO;NORTH-WEST
21;NW2302;ABUTT;BUM;BOYO;NORTH-WEST
22;NW2809;ACHA TUGI;MBENGWI;MOMO;NORTH-WEST
23;EN3102;ADJAINE;KOUSSERI;DIAMARE;EXTREME-NORD
24;ES3302;ADJALA;MOULOUNDO;BOUMBA ET NGOKO;EST
25;NW2403;ADUK;FUNDONG;BOYO;NORTH-WEST
26;CE5603;ADZAP;NGOMEDZAP;NYONG ET SO'O;CENTRE
27;EN3504;AFADE;MAKARY;DIAMARE;EXTREME-NORD
28;CE7402;AFANOYOA I;YAOUNDE III;MFOUNDI;CENTRE
29;CE7412;AFANOYOA III;YAOUNDE III;MFOUNDI;CENTRE
30;CE7403;AFANOYOA IV;YAOUNDE III;MFOUNDI;CENTRE
31;SW1703;AFAP;EYUMUDJOCK;MANYU;SUD-OUEST
32;SW1704;AGBORKEM;EYUMUDJOCK;MANYU;SUD-OUEST
33;NW1302;AGYATI-BAFUT;BAFUT;MEZAM;NORTH-WEST
34;CEAL34;AHALA II;YAOUNDE III;MFOUNDI;CENTRE
35;CE7404;AHALA I;YAOUNDE III;MFOUNDI;CENTRE
36;EN4320;AISSA HARDE;MORA;MAYO-SAVA;EXTREME-NORD
37;SW1705;AJAYUKNDIP;EYUMUDJOCK;MANYU;SUD-OUEST
38;NW2404;AJUNG;FUNDONG;BOYO;NORTH-WEST
39;CE2902;AKAK;ELIG-MFOMO;LEKIE;CENTRE
40;CE7104;AKAK II;SOA;MEFOU ET AFAMBA;CENTRE
41;NW2303;AKEH;BUM;BOYO;NORTH-WEST
42;CE1303;AKEKAS;AKONOLINGA;NYONG ET MFOUMOU;CENTRE
43;NW1001;AKO COUNCIL;AKO;DONGA-MANTUNG;NORTH-WEST
44;CE1102;AKOEMAN;AKOEMAN;NYONG ET SO'O;CENTRE
45;CE3802;AKOK;LOBO;LEKIE;CENTRE
46;ES1203;AKOK-MAKA;ATOK;HAUT-NYONG;EST
47;CE4602;AKOLO;MENGANG;NYONG ET MFOUMOU;CENTRE
48;CE4203;AKOM NYADA;MBALMAYO;NYONG ET SO'O;CENTRE
49;CE4204;AKOMETAM;MBALMAYO;NYONG ET SO'O;CENTRE
50;CE6802;AKOMKADA;ASSAMBA;MEFOU ET AFAMBA;CENTRE
51;CE5604;AKONGO III;NGOMEDZAP;NYONG ET SO'O;CENTRE
52;CE4925;AKOUMBOU;MFOU;MEFOU ET AFAMBA;CENTRE
53;NW4002;AKU FUN GABAH;TUBAH;MEZAM;NORTH-WEST
54;NW2502;AKUM;FRU-AWA;MENCUM;NORTH-WEST
55;NW3902;AKUM;SANTA;MEZAM;NORTH-WEST
56;LT1502;AKWA;DOUALA I;WOURI;LITTORAL
57;SW1706;AKWA;EYUMUDJOCK;MANYU;SUD-OUEST
58;SW2002;AKWA;ISANGELE;NDIAN;SUD-OUEST
59;LT1503;AKWA NORD;DOUALA I;WOURI;LITTORAL
60;NW1002;AKWAJA;AKO;DONGA-MANTUNG;NORTH-WEST
61;SW1001;AKWAYA COUNCIL;AKWAYA;MANYU;SUD-OUEST
62;NW1003;AKWESSE;AKO;DONGA-MANTUNG;NORTH-WEST
63;NW3002;AKWETO;MISAJE;DONGA-MANTUNG;NORTH-WEST
64;ES2602;ALAT-MAKAYE;LOMIE;HAUT-NYONG;EST
65;AD1102;ALLAT;BANYO;MAYO-BANYO;ADAMAOUA
66;AD2902;ALLAT-MENGACK;TIBATI;DJEREM;ADAMAOUA
67;AD1810;ALME;MAYO-BALEO;FARO ET DEO;ADAMAOUA
68;SW1101;ALOU COUNCIL;ALOU;LEBIALEM;SUD-OUEST
69;NW1902;AMBO;BATIBO;MOMO;NORTH-WEST
70;EN3103;AMCHEDIRE;KOUSSERI;DIAMARE;EXTREME-NORD
71;EN3505;AMCHILGA;MAKARY;DIAMARE;EXTREME-NORD
72;EN2002;AMDANE;GOULFEY;DIAMARE;EXTREME-NORD
73;EN2003;AMFARA;GOULFEY;DIAMARE;EXTREME-NORD
74;ESAL30;AMINEMEKOUND;NGUELEMENDOUGA;HAUT-NYONG;EST
75;EN3506;AMSABANG;MAKARY;DIAMARE;EXTREME-NORD
76;NW1101;ANDEK COUNCIL;NGIE;MOMO;NORTH-WEST
77;ES1803;ANDOM;DIANG;LOM ET DJEREM;EST
78;CE1304;ANDOM YEMBAMA;AKONOLINGA;NYONG ET MFOUMOU;CENTRE
79;CE7117;ANDON;SOA;MEFOU ET AFAMBA;CENTRE
80;CEAL31;ANGON I;MBANKOMO;MEFOU ET AKONO;CENTRE
81;CE4533;ANGON II;MBANKOMO;MEFOU ET AKONO;CENTRE
82;CE4503;ANGONGA;MBANKOMO;MEFOU ET AKONO;CENTRE
83;ESALF2;ANGOSSAS VILLE;ANGOSSAS;HAUT-NYONG;EST
84;NW2002;ANYAJUA;BELO;BOYO;NORTH-WEST
85;SW1103;ANYA-LEWOH;ALOU;LEBIALEM;SUD-OUEST
86;CEAL21;ANYOUGOM I;NKOLAFAMBA;MEFOU ET AFAMBA;CENTRE
87;OU3402;APOUH;FONGO TONGO;MENOUA;OUEST
88;LT2207;APPOUH;EDEA I;SANAGA-MARITIME;LITTORAL
89;NW1903;ASHONG;BATIBO;MOMO;NORTH-WEST
90;CE2102;ASSALA I;BOKITO;MBAM ET INOUBOU;CENTRE
91;SW1002;ASSAM;AKWAYA;MANYU;SUD-OUEST
92;CE5605;ASSIE;NGOMEDZAP;NYONG ET SO'O;CENTRE
93;EN4602;ASSIGHASSIA;MAYO MOSKOTA;MAYO-TSANAGA;EXTREME-NORD
94;CE2603;ASSOK;DZENG;NYONG ET SO'O;CENTRE
95;CE1336;ASSOM III;AKONOLINGA;NYONG ET MFOUMOU;CENTRE
96;OU4819;ASSONG FONDONERA;SANTCHOU;MENOUA;OUEST
97;CE2604;ATEGA;DZENG;NYONG ET SO'O;CENTRE
98;CE1305;ATHE;AKONOLINGA;NYONG ET MFOUMOU;CENTRE
99;ES2802;ATSIEK;MBANG;KADEY;EST
100;AD1002;ATTA;BANKIM;MAYO-BANYO;ADAMAOUA
101;CE6302;AVANGANE;NKOTENG;HAUTE SANAGA;CENTRE
102;CE6202;AWAE;NKOLMETET;NYONG ET SO'O;CENTRE
103;CE4903;AWAE IV;MFOU;MEFOU ET AFAMBA;CENTRE
104;CEAL19;AWAE IV;AWAE;MEFOU ET AFAMBA;CENTRE
105;NW3903;AWING;SANTA;MEZAM;NORTH-WEST
106;CE2605;AYANT;DZENG;NYONG ET SO'O;CENTRE
107;SW1707;AYUKABA;EYUMUDJOCK;MANYU;SUD-OUEST
108;ESAL63;AZOUMEKOUT;NGUELEMENDOUGA;HAUT-NYONG;EST
109;NW1202;BABA1;BABESSI;NGOKETUNJIA;NORTH-WEST
110;NW3904;BABA2;SANTA;MEZAM;NORTH-WEST
111;OU1002;BABADJOU CHEFFERIE;BABADJOU;BAMBOUTOS;OUEST
112;OU4402;BABATE KING PLACE;MBOUDA;BAMBOUTOS;OUEST
113;NW1201;BABESSI COUNCIL;BABESSI;NGOKETUNJIA;NORTH-WEST
114;OU4403;BABETE IATET;MBOUDA;BAMBOUTOS;OUEST
115;OU49;BABITCHOUA;TONGA;MIFI;OUEST
116;OU2402;BABOATE;BANKA;HAUT NKAM;OUEST
117;OU1102;BABONE;BAFANG;HAUT NKAM;OUEST
118;SW1708;BABONG;EYUMUDJOCK;MANYU;SUD-OUEST
119;OU1902;BABOUANTOU CHEFFERIE;BANDJA;HAUT NKAM;OUEST
120;OU1702;BABOUM;BAMENDJOU;HAUTS PLATEAUX;OUEST
121;OU1103;BABOUTCHA – NINTCHEU;BAFANG;HAUT NKAM;OUEST
122;OU1602;BABOUTCHA-FONGANG;BAKOU;HAUT NKAM;OUEST
123;OU1104;BABOUTCHEU - NGALEU;BAFANG;HAUT NKAM;OUEST
124;SW3502;BABUBOCK;NGUTI;KUPE / MUANENGUBA;SUD-OUEST
125;NW1203;BABUNGO;BABESSI;NGOKETUNJIA;NORTH-WEST
126;LT1602;BABYLONE;DOUALA II;WOURI;LITTORAL
127;SW3702;BACHUO-AKAGBE;UPPER BANYANG;MANYU;SUD-OUEST
128;ES2302;BADAN;GAROUA-BOULAI;LOM ET DJEREM;EST
129;OU2702;BADENGANG;BATCHAM;BAMBOUTOS;OUEST
130;OUAL99;BADENKOP CHEFFERIE;BANGOU;HAUTS PLATEAUX;OUEST
131;OU2112;BADIANGSEU;BANGANGTE;MIFI;OUEST
132;OU4702;BADJAHANG;PENKA-MICHEL;MENOUA;OUEST
133;CE4802;BADJOP;MESSONDO;NYONG ET KELLE;CENTRE
134;LT2503;BADJOUNGUE;MANJO;MOUNGO;LITTORAL
135;OUAL98;BADJUPA;BAMENDJOU;HAUTS PLATEAUX;OUEST
136;AD2102;BADOGODO;MEIGANGA;MBERE;ADAMAOUA
137;OUALF4;BADOUMKA;BANKA;HAUT NKAM;OUEST
138;OU1802;BADOUMKASSA;BANA;HAUT NKAM;OUEST
139;OU1803;BADOUMLA;BANA;HAUT NKAM;OUEST
140;OU4902;BADOUNGA;TONGA;MIFI;OUEST
141;OU4631;BADZIFENG;NKONG-NI;MENOUA;OUEST
142;OU4404;BAFACDJUI;MBOUDA;BAMBOUTOS;OUEST
143;OUAL97;BAFAMGOUM;BANGOU;HAUTS PLATEAUX;OUEST
144;OU1105;BAFANG - VILLAGE;BAFANG;HAUT NKAM;OUEST
145;NW1502;BAFANJI;BALIKUMBAT;NGOKETUNJIA;NORTH-WEST
146;SW3402;BAFIA TOWN;MUYUKA;FAKO;SUD-OUEST
147;OU4604;BAFOU DOUMBOUO;NKONG-NI;MENOUA;OUEST
148;OUAL03;BAFOU KING-PLACE;NKONG-NI;MENOUA;OUEST
149;OU4606;BAFOU PASTORAL;NKONG-NI;MENOUA;OUEST
150;OUAL04;BAFOU-BASSESSA;NKONG-NI;MENOUA;OUEST
151;AD2306;BAFOUCK;NGAOUI;MBERE;ADAMAOUA
152;OU4605;BAFOU-LATSUET;NKONG-NI;MENOUA;OUEST
153;OU4405;BAFOUNDA KING PLACE;MBOUDA;BAMBOUTOS;OUEST
154;OU1203;BAFOUSSAM CHEFFERIE;BAFOUSSAM I;MIFI;OUEST
155;NW1301;BAFUT COUNCIL;BAFUT;MEZAM;NORTH-WEST
156;EN1102;BAGALAF;BOGO;DIAMARE;EXTREME-NORD
157;OU3702;BAGAM CHEFFERIE;GALIM;BAMBOUTOS;OUEST
158;AD1302;BAGODO;DIR;MBERE;ADAMAOUA
159;OUAL96;BAHIALA;BANGOU;HAUTS PLATEAUX;OUEST
160;OUAL95;BAHIALA CHEFFERIE;BAHAM;HAUTS PLATEAUX;OUEST
161;OU1703;BAHOUANG KP;BAMENDJOU;HAUTS PLATEAUX;OUEST
162;OU2103;BAHOUOC;BANGANGTE;MIFI;OUEST
163;OU3602;BAIGOM;FOUMBOT;NOUN;OUEST
164;SW3102;BAIKUKE;MBONGE;MEME;SUD-OUEST
165;OUAL01;BAKANGOU;BANGOU;HAUTS PLATEAUX;OUEST
166;AD1202;BAKARI BATA;BELEL;VINA;ADAMAOUA
167;OU1804;BAKASSA;BANA;HAUT NKAM;OUEST
168;LT1002;BAKEM;BARE;MOUNGO;LITTORAL
169;OU4706;BAKENG;PENKA-MICHEL;MENOUA;OUEST
170;CE2103;BAKOA;BOKITO;MBAM ET INOUBOU;CENTRE
171;OUAL16;BAKONG;BAZOU;MIFI;OUEST
172;LT3102;BAKOUA;NDOBIAN;NKAM;LITTORAL
173;OU4406;BAKOUOTIO-KOPTESE;MBOUDA;BAMBOUTOS;OUEST
174;LT2107;BAKWAT;EBONE;MOUNGO;LITTORAL
175;OU1607;BALACK IOUM II;BAKOU;HAUT NKAM;OUEST
176;OU1904;BALAFI;BANDJA;HAUT NKAM;OUEST
177;OUALF3;BALAKO-NDOUNGOM;BANDJA;HAUT NKAM;OUEST
